distance_km,value
0.000000,5.000000
2.000000,6.435644
4.000000,7.871287
6.000000,9.306931
8.000000,10.742574
10.000000,12.178218
12.000000,13.613861
14.000000,15.049505
16.000000,16.485149
18.000000,17.920792
20.000000,19.356436
22.000000,20.792079
24.000000,22.227723
26.000000,23.663366
28.000000,25.099010
30.000000,26.534653
32.000000,27.970297
34.000000,29.405941
36.000000,30.841584
38.000000,32.277228
40.000000,33.712871
42.000000,35.148515
44.000000,36.584158
46.000000,38.019802
48.000000,39.455446
50.000000,40.891089
52.000000,42.326733
54.000000,43.762376
56.000000,45.198020
58.000000,46.633663
60.000000,48.069307
62.000000,49.504950
64.000000,50.940594
66.000000,52.376238
68.000000,53.811881
70.000000,55.247525
72.000000,56.683168
74.000000,58.118812
76.000000,59.554455
78.000000,60.990099
80.000000,62.425743
82.000000,63.861386
84.000000,65.297030
86.000000,66.732673
88.000000,68.168317
90.000000,69.603960
92.000000,71.039604
94.000000,72.475248
96.000000,73.910891
98.000000,75.346535
100.000000,76.782178
102.000000,78.217822
104.000000,79.653465
106.000000,81.089109
108.000000,82.524752
110.000000,83.960396
112.000000,85.396040
114.000000,86.831683
116.000000,88.267327
118.000000,89.702970
120.000000,91.138614
122.000000,92.574257
124.000000,94.009901
126.000000,95.445545
128.000000,96.881188
130.000000,98.316832
132.000000,99.752475
134.000000,101.188119
136.000000,102.623762
138.000000,104.059406
140.000000,105.495050
142.000000,106.930693
144.000000,108.366337
146.000000,109.801980
148.000000,111.237624
150.000000,112.673267
152.000000,114.108911
154.000000,115.544554
156.000000,116.980198
158.000000,118.415842
160.000000,119.851485
162.000000,121.287129
164.000000,122.722772
166.000000,124.158416
168.000000,125.594059
170.000000,127.029703
172.000000,128.465347
174.000000,129.900990
176.000000,131.336634
178.000000,132.772277
180.000000,134.207921
182.000000,135.643564
184.000000,137.079208
186.000000,138.514851
188.000000,139.950495
190.000000,141.386139
192.000000,142.821782
194.000000,144.257426
196.000000,145.693069
198.000000,147.128713
200.000000,148.564356
202.000000,150.000000
