Location,Tidal Range (m),Station
156,1.79,BS
156,1.79,BS
156,1.53,BS
156,1.57,BS
156,2.12,BS
156,2.01,BS
156,1.65,BS
156,1.4,BS
156,1.6,BS
156,1.63,BS
156,1.86,BS
156,2.25,BS
156,1.45,BS
156,1.33,BS
156,1.56,BS
156,1.53,BS
156,2,BS
156,2.11,BS
156,1.77,BS
156,1.75,BS
156,1.6,BS
156,1.65,BS
124,2.1,TT
124,1.8,TT
124,1.99,TT
124,2.27,TT
124,2.44,TT
124,2.45,TT
124,1.63,TT
124,1.84,TT
124,1.98,TT
124,2.39,TT
124,2.59,TT
124,2.37,TT
124,1.6,TT
124,1.93,TT
124,1.91,TT
124,2.41,TT
124,2.55,TT
124,2.22,TT
124,2.08,TT
124,2.03,TT
124,2.03,TT
124,1.91,TT
124,1.91,TT
124,2.09,TT
114,2.19,PC
114,2.34,PC
114,1.94,PC
114,2.07,PC
114,2.36,PC
114,2.55,PC
114,2.06,PC
114,1.69,PC
114,1.89,PC
114,2.01,PC
114,2.54,PC
114,2.65,PC
114,2.05,PC
114,1.76,PC
114,2,PC
114,1.96,PC
114,2.53,PC
114,2.55,PC
114,2.24,PC
114,2.11,PC
114,2.06,PC
114,2.19,PC
114,2.53,PC
94,2.41,BP
94,2.5,BP
94,2.11,BP
94,2.27,BP
94,2.69,BP
94,2.82,BP
94,2.5,BP
94,1.97,BP
94,2.04,BP
94,2.35,BP
94,2.73,BP
94,2.82,BP
94,2.25,BP
94,2.01,BP
94,2.22,BP
94,2.17,BP
94,2.73,BP
94,2.46,BP
94,2.25,BP
94,2.28,BP
94,2.47,BP
94,2.74,BP
94,2.75,BP
78,2.86,BD
78,2.97,BD
78,2.59,BD
78,2.66,BD
78,3.13,BD
78,3.31,BD
78,3.05,BD
78,2.49,BD
78,2.61,BD
78,2.9,BD
78,3.24,BD
78,3.33,BD
78,2.73,BD
78,2.45,BD
78,2.76,BD
78,2.77,BD
78,3.22,BD
78,3.24,BD
78,3.12,BD
78,2.77,BD
78,2.72,BD
78,2.9,BD
78,3.11,BD
78,3.12,BD
48,3.15,BK
48,3.28,BK
48,2.99,BK
48,3.1,BK
48,3.51,BK
48,3.59,BK
48,3.47,BK
48,2.68,BK
48,2.95,BK
48,3.24,BK
48,3.47,BK
48,3.04,BK
48,2.65,BK
48,3.2,BK
48,3.04,BK
48,3.48,BK
48,3.63,BK
48,3.49,BK
48,3.49,BK
48,2.99,BK
48,2.99,BK
48,3.1,BK
48,3.1,BK
28,3.26,VS
28,3.35,VS
28,2.95,VS
28,3.26,VS
28,3.69,VS
28,3.69,VS
28,3.56,VS
28,3.56,VS
28,2.7,VS
28,3.1,VS
28,3.31,VS
28,3.55,VS
28,3.7,VS
28,2.76,VS
28,3.4,VS
28,3.16,VS
28,3.56,VS
28,3.71,VS
28,3.49,VS
28,2.88,VS
28,2.88,VS
28,3.12,VS
28,3.12,VS
28,3.24,VS
20,3.06,VC
20,3.25,VC
20,2.85,VC
20,3.29,VC
20,3.36,VC
20,3.38,VC
20,3.38,VC
20,2.74,VC
20,2.9,VC
20,3.14,VC
20,3.37,VC
20,3.43,VC
20,2.95,VC
20,2.68,VC
20,3.18,VC
20,3.15,VC
20,3.05,VC
20,3.33,VC
20,3.39,VC
20,3.39,VC
20,2.8,VC
20,2.8,VC
20,3.06,VC
20,3.06,VC
0,2.5,Ocean
0,3.2,Ocean
0,2.5,Ocean
0,3.3,Ocean
0,2.5,Ocean
0,2.4,Ocean
0,2.6,Ocean
0,2.6,Ocean
0,2.4,Ocean
0,2.3,Ocean
0,2.6,Ocean
0,2.5,Ocean
0,3.8,Ocean
0,3.7,Ocean
0,3.2,Ocean
0,2.9,Ocean
0,3.1,Ocean
0,2.8,Ocean
0,2.6,Ocean
0,2.8,Ocean
0,2.7,Ocean
0,2.7,Ocean
0,2.9,Ocean
