Day,PC,BD,BK
1/12/2017,2.36,3.24,3.56
1/13/2017,2.38,3.26,3.63
1/14/2017,1.94,2.87,3.06
2/12/2017,1.88,2.79,3.08
2/13/2017,1.77,2.46,2.78
3/30/2017,1.81,2.61,2.92
3/31/2017,2.05,2.88,3.17
4/28/2017,2.21,2.98,3.28
4/29/2017,2.63,3.31,3.74
5/28/2017,2.47,3.23,3.58
5/29/2017,2.39,3.26,3.77
6/25/2017,2.56,3.41,3.84
6/26/2017,2.49,3.3,3.62
7/24/2017,2.42,3.38,3.7
7/25/2017,2.25,3.12,3.5
8/23/2017,2.07,3.02,3.5
8/24/2017,2.32,2.7,3.06
9/21/2017,1.76,2.65,3.06
9/22/2017,1.8,2.47,2.78
10/6/2017,1.73,2.6,2.97
10/7/2017,1.83,2.64,3.05
11/5/2017,1.94,2.89,3.44
11/6/2017,2.14,3,3.38
12/4/2017,1.99,3.07,3.48
12/5/2017,2.31,3.22,3.7
1/2/2018,2.27,3.18,3.63
1/3/2018,1.95,2.88,3.24
2/2/2018,1.87,2.91,3.19
2/3/2018,2.16,3.05,3.28
3/3/2018,2.09,2.82,3.18
3/4/2018,1.65,2.31,2.48
4/17/2018,1.88,2.67,2.93
4/18/2018,1.98,2.8,3
5/18/2018,2.25,3.08,3.42
5/19/2018,2.35,3.12,3.44
9/25/2018,1.98,2.67,2.98
9/26/2018,1.88,2.64,3
10/26/2018,2.08,2.92,3.24
10/27/2018,2.13,2.94,3.3
11/23/2018,2.25,2.99,3.3
11/24/2018,2.22,3.18,3.45
12/23/2018,2.39,3.35,3.64
12/24/2018,2.46,2.71,2.38
